ID,Module,Scenario,Expected Result
TC-001,Register,Register with valid email and strong password,"201 Created, Email N-01 & N-02 sent, User receives 5 Welcome Credits."
TC-002,Register,Register with already existing email,409 Conflict error ""Email đã được đăng ký"".
TC-003,Register,Weak password (no uppercase or number),"400 Bad Request ""Mật khẩu phải có ít nhất 8 ký tự, 1 chữ hoa, 1 số""."
TC-004,Email Verify,Click verification link within 24h,`email_verified` = true, user can access restricted features.
TC-005,Email Verify,Click expired verification link (>24h),Error message ""Link đã hết hạn"", option to resend.
TC-006,Login,Valid email/password after verification,"Success, redirect to landing page or previous page."
TC-007,Login,Unverified email login attempt,"Block login, show message ""Vui lòng xác thực email""."
TC-008,OAuth,Google Login - New User,"Auto-create account, `auth_provider`='google', skip verify email."
TC-009,OAuth,Facebook Login - New User,"Auto-create account, `auth_provider`='facebook', profile pic synced."
TC-010,Reset PW,Request reset for valid email,Email N-03 sent with token.
TC-011,Guest Mode,Browse products/templates as guest,UI displays items without forcing login.
TC-012,Guest Mode,Add item to cart as guest,Item stored in localStorage, cart count updates.
TC-013,Guest Mode,Use design editor as guest,Design stored in localStorage, preview works.
TC-014,Migration,Click ""Thanh toán"" as Guest,Shows Login/Register modal popup.
TC-015,Migration,Login after Guest shopping,Cart from localStorage merges with server cart.
TC-016,Migration,Conflict during migration (same product),Both items kept in cart as per F08b-2.
TC-017,Persistence,Reload browser as guest,Cart and Design data persist in localStorage.
TC-018,Expiry,No activity for >7 days,LocalStorage cleared (cart + designs) per F08b-3.
TC-019,Products,View product details (id matches),"Shows name, base_price, colors, sizes, and specific mockup."
TC-020,Fit-Size,"Valid input (175cm, 70kg, Nam)",System suggests size (e.g., L) with confidence %.
TC-021,Fit-Size,Boundary test (Height 140cm),Should still suggest the smallest available size.
TC-022,Fit-Size,Out of range (Height 230cm),Error ""Height/Weight ngoài range"".
TC-023,Purchase,""Mua ngay"" plain shirt,"Redirects to size picker + quantity, bypasses Editor."
TC-024,Base Price,Buy plain shirt,Price equals base_price (no design fee).
TC-025,Canvas,Drag/Resize element,Maintain ≥ 30 FPS (NFR-P03).
TC-026,Canvas,Apply template to front,"JSON canvas data updates, mockup previews design."
TC-027,Canvas,Switch product color,Mockup updates but design placement remains consistent.
TC-028,Canvas,Add text with custom font,"Text renders on canvas, saved in JSON."
TC-029,Canvas,Undo/Redo actions,Editor state reverts/advances correctly.
TC-030,Canvas,Switch to Back view,"New canvas loaded for back side, front preserved."
TC-031,Save,Save design (Logged in),`POST /api/designs` success, appears in ""My Designs"".
